category,proverb
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Не помніць карова зімы, дачакаўшы лета."
СЕЛЬСКАЯ ГАСПАДАРКА,"Рэпу ды гарох не сей каля дарог. 
а) Не сей гарох каля дарог."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Аснова кепска, але майстар добры: як патрэцца, будзе добра."
ПРАЦА,"Добра завінуцца, да й дзелу канец."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Выбіраць карову не каб пазорная, а каб малочная."
ХАРЧАВАННЕ,"Каб зварыць страву, трэба пасячы старую лаву."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Паноў многа такіх — не перавешаеш i да Масквы.
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Як ты мне, так я табе."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Сэрца кажа — пасядзём, вочы кажуць — ідзем."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,У старэцкім целе да панская душа.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Абы ліха ціха.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Барышы харошы на чужыя грошы. 
а) Мае барышы, да на твае грашы. 
б) Магарычы мае, да на грошы твае."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Воўк яму дарогу перабег.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Бабіна лета кароткае.
СЕЛЬСКАЯ ГАСПАДАРКА,Ідзе гарох — сем дарог.
ПРОМЫСЛЫ I РАМЕСТВЫ,"На тонку сарочку трэба доўга пасядзець, а на белу — трэба доўга пастаяць."
ПРАЦА,"Які пачатак, такі канчатак."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Кароўка чорненькая, ды малачко беленькае. 
а) Вялікае дзіва, што карова чорна, а малако сіва."
ХАРЧАВАННЕ,"Дома хоць не ўежна, але ўлежна. 
а) У дварэ хоць не ўежна, дак улежна. 
б) Жывем не ўежна, затое ўлежна. 
в) Хоць не ўежна, дык вылежна."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Хто з паноў пан, таго дзеці паняты."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Кожны жыве па свайму закону.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не выганяюць, але проша вон."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,I ў старца душа не пень: хоча хлеба i канапель.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Казала ліха, што будзе ціха. 
а) Скажа ліха, калі не будзе ціха."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Чые грошы, таго i падкрушчыны."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Воўка сустрэў.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Спусця лета па маліну не ходзяць.
СЕЛЬСКАЯ ГАСПАДАРКА,"Гарох сеецца на прыхадзяшчага i на прыбягашчага i на тыя дзеці, што праз плот глядзеці."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Было не міколіць, не марколіць, ды было сарочку партоліць."
ПРАЦА,Дрэннаму пачатку — дрэнны канец.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,I чорна карова белае малако дае.
ХАРЧАВАННЕ,"Якое ні путра, правадзілі вутра."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Пан як пан, да паняты, хоць уцякай з хаты."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Глядзі сябе, будзець з цябе."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Будзьце, як дома, але не забывайце, што ў гасцях."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"З торбаю трасуся, да нікога не баюся."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Ліха не ляжыць (не ўсядзіць) ціха. 
a) Ліха не ўседзіць ціха — акажацца."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,На барышы усе брашы.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Стары воўк знаець толк.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Як багата рабіны — вады па аглабліны.
СЕЛЬСКАЯ ГАСПАДАРКА,"Сей гарох, каб баран лёг."
ПРОМЫСЛЫ I РАМЕСТВЫ,Не шапавал душу ўлажыў.
ПРАЦА,"Ліхі пачатак, калі не відаць канца."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"У ялаўкі малака не надоіш. 
а) У ялавай каровы малака не выціснеш."
ХАРЧАВАННЕ,"Жыць весела, да есць нечага."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Паны як папы, а паняты, як шчаняты, яшчэ горшыя."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Чыя шапка на ком, то той будзе на том."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Гдзе любяць, бывай рэдка, а гдзе не любяць, ніколі. 
а) Дзе любяць, не ўчашчай, дзе не любяць, не бывай.
б) Дзе цябе любяць, там не ўчашчай, а дзе не любяць, там ніколі не бывай.
в) Дзе любяць, не ўчашчай, а дзе не любяць, i нагою не накладай.
г) Дзе радыя, не ўчашчай, а дзе не радыя, зусім не бывай.
д) Дзе рады, туды не ўчашчай, а дзе не рады, туды ніколі не заглядай.
е) Дзе любяць, бывай рэдка, а дзе не любяць, то i зусім не заходзь.
ж) Дзе просяць, не ўчашчай, а дзе не просяць, зусім не бывай. 
з) Дзе любяць, рэдка хадзі, дзе не любяць, кругом абхадзі."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Нашы старцы пайшлі ў танцы.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Як прыдзе ліха, то не ўседзіш ціха. 
а) Як прыдзе ліханька, не ўседзіш ціхенька."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Чы купіць, чы не купіць, абы магарычу выпіць."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Адрыгнуцца воўку кароўі слёзы. 
а) Пабілі воўка гавечыя слёзы."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Ядроныя верабіны — восенню гразі па аглабліны.
СЕЛЬСКАЯ ГАСПАДАРКА,Жыта сеюць у свіны голас.
ПРОМЫСЛЫ I РАМЕСТВЫ,I з голкі кравец жыве.
ПРАЦА,"Які зацінь, такі i зачын."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Цяліся, карова ялова, абы бабе малако было."
ХАРЧАВАННЕ,"Не піўшы, не еўшы, скачы ашалеўшы."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не так дакучна ад паноў, як ад панят (падпанка^). 
а) Не так дакучны паны, як падпанкі. 
б) Не так трудно ад саміх паноў, як ад панят."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Што тваё, то й мае, а што майго, то табе не да таго."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе ядуць, туды ідзі, а дзе дзяруцца, адтуль ухадзі.
а) Дзе раздаюць, туды ідзі, а дзе б'юцца — уцякай. 
б) Дзе п'юць, там пагуляй, а дзе б'юць, адтуль уцякай."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Старцы пугі на пугі мянялі ды барышы півалі.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Было ціха, а цяпер будзець ліха."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Выпіўшы барыша — будзе міна хараша.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Ад воўка ўцякаеш, а на мядзведзя наскочыш."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Як нурцы стадамі на азёры прылятаюць, старыя людзі пагоды не памнятаюць."
СЕЛЬСКАЯ ГАСПАДАРКА,"Хлеб на хлеб (па хлебу) сеяць — ні малаціць, ні веяць. 
а) Калі будзеш жыта па жыту сеяць, тады не будзеш ні малаціць, ні веяць."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Ці шавец, ці кравец — не стралец, а майстар."
ПРАЦА,"Без зачатку i канца не было. 
а) Без гэтага пачатку i канца не было."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Калі ой, тады дой."
ХАРЧАВАННЕ,"Песні — хоць трэсні, а кушаць нечага. 
а) Спявай песні, хоць трэсні, а есць нечага. 
б) Пей песні, хоць трэсні, толькі есці не прасі."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Паны як паны, да падпанкі жыць не даюць."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Дзе жывуць тыкаўцы, там i бог адступіўся, а дзе якаўцы, там бог жыве."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не ідзі туды, дзе цябе не просяць."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Старац старца ненавідзіць, а павадыр абодвух. 
а) Старац старца не любіць, a хазяін абыдвух."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Калі ліха, сядзі ціха. 
a) Сядзі ціха, калі не хочаш мець ліха."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Падліць жыта, каб сушы не баялася."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Як на мядзведзя ўпадзе шышка, то ён раве, а як цэла галіна, то ён маўчыць."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Восень — на дзень пагод восем.
СЕЛЬСКАЯ ГАСПАДАРКА,На льнянішчы нічога не вырасце.
ПРОМЫСЛЫ I РАМЕСТВЫ,"Кравец за іголку, баба за калатоўку."
ПРАЦА,"Не пачынаючы, канца не будзе. 
а) Не пачаўшы, не кончыш. 
б) Калі без пачатку, дык i без канца."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Хоць ты дой быка, абы нам дала малака."
ХАРЧАВАННЕ,"Пой песні, хоць трэсні, але есці не забывай."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не так паны, як падпанкі. 
а) Не так тыя паны, як паняняты."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Лепш не пры мне.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"У адзінца не п'юць вінца, a калі п'юць, дык не дзякуючы ідуць. 
а) У адзінцы не п'юць вінца, а хоць i п'юць, то не дзяку­ ючы йдуць."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Старац старца не знаходзіць, затое павадыр павадыра знаходзіць."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Ад ліха ўцякай ціха. 
а) Дзе ліха, уцякай ціха."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,На кірмашэ выпілі ўсе барышэ.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Мядзведзь на лес сердзіцца, а лес аб гэтым не ведае."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Змяна змяне пагоду падае.
СЕЛЬСКАЯ ГАСПАДАРКА,"Жыта сей на канаплішчы, дык не пашкадуеш."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Якая работа, такая й капота."
ПРАЦА,"Не надзявай хамута з хваста, не пачынай справы з канцо."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Бывала, буяла, а цяпер i рыкаць не хоча. 
а) Бывала, буяла, а сягоння рыкаці не хоча."
ХАРЧАВАННЕ,"I танцуе, i грае, толькі есці не мае."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Горшыя падпанкі, як паны."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,"Не да парасят, калі свінню смаляць. 
а) Цяпер не да парасят, калі свінню смаляць.
б) Не да парасят свінні, калі яе смаляць.
в) Свінні не да парасят, калі хвост смаляць. 
г) Не да парасят свінні, калі яе колюць. 
д) Не да парасят свінні, калі яе на агонь цягнуць."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не так рады прыходу, як адходу."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Яму толькі старцаў вадзіць.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Паедзеш ціха, тут ліха, паедзеш шпарка, ад ліха варка.
а) Еду ціха — са мной ліха, еду скора — ca мной гора. 
б) Адна скакала — ліха спаткала, а другая ціха — напаткала ліха."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Баба качаргу мяняла, тры дні гуляла. 
а) Баба качаргу прадала i то барыш папіла. 
б) Дзве бабы качэргі мянялі i то магарыч пілі."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",У лясу i мядзведзь архімандрыц.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Увосені ложка вады, вядро гразі."
СЕЛЬСКАЯ ГАСПАДАРКА,"Што пасееш, тое i вырасце."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Не завязаўшы вузла, першы штых прапаў."
ПРАЦА,"Рабі, што хочаш, a глядзі, які канец будзе."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Божачка-бацечка, скінь з неба тапарок — даў бы гэтай белай карове ў бок."
ХАРЧАВАННЕ,"Можна i песні пець, калі пад'ясі."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Елі, елі вошы, а цяпер будуць гніды. 
a) Елі, елі вошы, а цяпер i гнідам давялося кусаць."
ГРАМАДА. КАЛЕКТЫВІЗМ. ІНДЫВІДУАЛІЗМ,Ён любіць толькі самого сябе i то адзін раз у год.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе сала кіпіць, там людзей кішыць."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Дзядну i старцы памінаюць.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Ліха не дражні.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Што нам да барыша, была б слава хараша."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Ліса i ў сне курэй бачыць. 
а) Ліса спіць i курэй лічыць."
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Увосень дажджу з неба капка, а з зямлі дзве."
СЕЛЬСКАЯ ГАСПАДАРКА,"Што пасееш, тое i пажнеш (сажнеш). 
а) Як пасееш, так i пажнеш."
ПРОМЫСЛЫ I РАМЕСТВЫ,На воўну авец знойдзецца i кравец.
ПРАЦА,"За што бярэшся, канца даб'ешся."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Бачыць карова, што ў страсе салома. 
а) Відзіць карова, што на павеці салома. 
б) Не слепа карова, што на павеці салома."
ХАРЧАВАННЕ,"На спіне шоўк, a ў жываце шчоўк. 
а) На пузе шоўк, а ў пузе шчоўк."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не так брады, як брадзяняты, не так паны, як паняты."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Туды ўсе бягуць, дзе есці з салам даюць."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Падаруйце палаценца залапіць каленца.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Маўчы,""няхай будзе ціха ліха."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Усё за грошы. 
а) Абы грошы, усё будзець."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Ліса семярых ваўкоў ашукае.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Асенняе сонца, як удаўцова сэрца."
СЕЛЬСКАЯ ГАСПАДАРКА,"Якім зярном хто сее, такім збірае."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Намётка ў прачкі, а сарочка ў швачкі."
ПРАЦА,"Хто зр$біў пачатак, няхай зробіць канчатак."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не галодна карова, калі ў страсе салома. 
а) Не галодна карова, калі пад носам салома."
ХАРЧАВАННЕ,"На назе чаравік скрыпіць, a ў гаршку трасца кіпіць. 
а) У чабатку рыпіць, а чорт у гаршку кіпіць."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Лепш у вялікага пана за клямку дзяржацца, як з малым панком за сталом сядзець."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Абы скварка й чарка, дык будзе там i Марка."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Убогаму падай — табе бог падасць.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","He будзі ліха, калі спіць ціха. 1962, Капатк.
а) He будзі ліха, калі ліха спіць. 
б) Не рухай бяду, калі яна спіць. 
в) Не будзі ліха, няхай спіць."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Грошы камень б'юць. 
а) Рубель i камень даўбе. 
б) Дзенежка камень даўбіць. 
в) Дзеньгі камні разбіваюць. 
г) Грошы муры ламаюць. 
д) Золата i камень даўбе."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Далека куцаму да зайца.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Восень на рабом каню ездзіць. 
а) Восень на шэрым кані ездзіць. 
б) Восень i марац на рабом каню ездзяць."
СЕЛЬСКАЯ ГАСПАДАРКА,"Якое семя, такое i емя."
ПРОМЫСЛЫ I РАМЕСТВЫ,Усякі кравец сваім кроем крое.
ПРАЦА,"Умеў пачынаць, умей i канчаць."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не пілнуй кароўку, але пілнуй сваю галоўку."
ХАРЧАВАННЕ,"Красіва, да жывату таскліва."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",За панам пойдзеш — панскім слугой будзеш.
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе каша i аладкі, там будзе i грамадка."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Крупы драныя, сальца кроенае, кускі ломаныя."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Сядзеў бы ціха, каб не парола ліха."
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,За грошы толька бацькі i маткі не купіш.
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Няма гаду без яду.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,"Брусніца белабока, i парабак прыспаў сабе вока. 
a) Калі брусніка краснавока, тады паспіць вока."
СЕЛЬСКАЯ ГАСПАДАРКА,"Пасееш буйным зярном, будзеш з хлебам i віном."
ПРОМЫСЛЫ I РАМЕСТВЫ,Усякі партны мерае па свайму крою.
ПРАЦА,"Не таго слава, што пачынае, але таго, што кончыць."
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,На адным сене малака не надоіш.
ХАРЧАВАННЕ,"Хоць боса хаджу, але з перцам ем."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Які пан, такі слуга."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе з малаком каша, там міласць ваша, а й дзе ж пуга .? вузлом, туды i нас з гузном."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Бог жабраваў i нам казаў.
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",З (ад) напасці можна прапасці.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Хто з грашыма — той i пан. 
а) За грошы то ўсякі пан. 
б) Кажан пан за свой грош."
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Кажан гад мае свой яд.
ПОРЫ ГОДУ. НАРОДНЫ КАЛЯНДАР,Восень — работ восем.
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто сее, той надзее."
ПРОМЫСЛЫ I РАМЕСТВЫ,"Кажны кравец сваім кроем, кажан кеп сваім строем."
ПРАЦА,З ніткі клубок вярціцца.
МАТЭРЫЯЛЬНЫ БЫТ. ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Які корм, такі i надой."
ХАРЧАВАННЕ,"Мінуўся той час, што з мёдам (салам) варыў квас."
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","He такі пан, як слуга."
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе гам, i я там."
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Пад касцёл з доўгімі рукамі. 
а) 3 даўгімі рукамі — пад касцёл."
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Ад напасці не прапасці.
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"За свае грошы ўсюду харошы. 
а) У каго грошы, той i харошы. 
б) За грошы i пан харошы.
в) За грошы i чорт харошы.
г) За грошы i дурань харошы.
д) Хто мае грошы, то й добры i харошы. 
е) За свой грош кожны харош. 
ж) За свой грош хоць дзе харош. 
з) За свой грош усюдых харош. 
i) Мы за свае грошы ўсюды харошы."
