category,proverb,number,book_page
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"б) Не слепа карова, што на павеці салома",13,199
ХАРЧАВАННЕ,"Красіва, да жывату таскліва",614,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",За панам пойдзеш — панскім слугой будзеш,287,309
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"б) Дзе п'юць, там пагуляй, а дзе б'юць, адтуль уцякай",259,395
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Убогаму падай — табе бог падасць,1681,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Як пойдзець ліха зрання, аж да ймяркання",2064,452
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"в) Дзеньгі камні разбіваюць
г) Грошы муры ламаюць",2300,474
ПРАЦА,"Не таго слава, што пачынае, але таго, што кончыць",1656,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Далека куцаму да зайца,184,64
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,б) Восень i марац  на рабом  каню  ездзяць,472,87
СЕЛЬСКАЯ ГАСПАДАРКА,"Пасееш буйным зярном, будзеш з хлебам i віном",1016,128
ПРОМЫСЛЫ I РАМЕСТВЫ,"в) Як пашыеш, так i зносіш",1435,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не  галодна  карова,  калі ў страсе  салома
а) Не галодна карова, калі пад носам салома",184,199
ХАРЧАВАННЕ,"Хоць боса хаджу, але з перцам ем",615,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Які пан, такі слуга",288,309
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не ідзі туды, дзе цябе не просяць",1371,395
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Крупы драныя, сальца  кроенае,  кускі ломаныя",1682,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Абы ліха ціха,2065,452
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,За грошы толька  бацькі i маткі не купіш,2301,474
ПРАЦА,3 ніткі клубок вярціцца,1657,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Няма гаду без яду,185,64
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Брусніца белабока, i парабак прыспаў сабе вока
a) Калі брусніка краснавока, тады паспіць вока",473,87
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто сее, той надзее",1017,128
ПРОМЫСЛЫ I РАМЕСТВЫ,"Пашыў: на сабаку мала, а на ката вяліка",1436,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не пілнуй кароўку, але пілнуй сваю галоўку",185,199
ХАРЧАВАННЕ,"Мінуўся той час, што з мёдам (салам) варыў квас",616,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","He такі пан, як слуга",289,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"У адзінца не п'юць вінца, a калі п'юць, дык не дзякуючы  ідуць
а) У адзінцы не п'юць вінца, а хоць i п'юць, то не дзяку­ ючы йдуць",1372,395
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,Бог жабраваў i нам казаў,1683,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Казала ліха, што будзе ціха
а) Скажа ліха, калі не будзе ціха",2066,452
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Хто з грашыма — той i пан,2302,474
ПРАЦА,"Калі не маеш кончыць, то й не пачынай",1658,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Кажан гад мае свой яд,186,64
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Восень — работ восем,474,87
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто сее, той збірае",1018,128
ПРОМЫСЛЫ I РАМЕСТВЫ,"Клей на бумажку, a іглу на рубашку",1437,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Які корм, такі i надой",187,199
ХАРЧАВАННЕ,За даўнейшыя часы елі i каўбасы,617,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Дваровая служака, што вясковая сабака
а) Вясковая  сабака, а дваровая  служака — усе роўна",290,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Не так рады прыходу, як адходу",1373,395
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Пад касцёл з доўгімі рукамі
а) 3 даўгімі рукамі — пад касцёл",1684,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Ліха не ляжыць (не ўсядзіць)  ціха
a) Ліха не ўседзіць ціха — акажацца",2067,452
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,а) За грошы то ўсякі пан,55,474
ПРАЦА,Асталося толькі пачаць i кончыць,1659,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Усякі гад на свой лад,187,64
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Восенню  нагою, зімою рукою",416,87
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто сее, той будзе жаць",1019,128
ПРОМЫСЛЫ I РАМЕСТВЫ,"Шый, шый, пашывай, ды другому падавай",1438,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Як накорміш, так i надоіш
а) Як накорміш ды  напоіш,  так i надоіш",188,199
ХАРЧАВАННЕ,"Ужо даўно, як на кругло не пад'еў",618,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Сам сабе пан, сам сабе служка",291,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе сала кіпіць, там людзей кішыць",1374,395
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Не хачу жабраваць, буду пры табе гараваць",1685,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Як прыдзе ліха, то не ўседзіш ціха",2068,452
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"За свае грошы ўсюду харошы
а) У каго грошы, той i харошы",2303,474
ПРАЦА,Канец — дзелу вянец,1660,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",У гадзюкі свой нораў,188,64
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Восенню касі ды на печы сушы,477,87
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто сее ды вее, той не збяднеё",1020,129
ПРОМЫСЛЫ I РАМЕСТВЫ,Кажна прачка ў чорнай сарочцы ходзіць,1439,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Дай кароўцы бурачка,  дасць  кароўка малачка",189,199
ХАРЧАВАННЕ,Хлеб — усяму галава,619,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Ідзі за ахмістрыню з вялікім трыбухом,292,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Туды ўсе бягуць,  дзе есці з салам даюць",1375,395
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Волей малаціць, чымся з мехам па людзях хадзіць",1686,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","а) Як прыдзе ліханька, не ўседзіш  ціхенька",193,452
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"У каго грошы — у таго розум
а) Калі з рублём, дак i з вумом",2304,474
ПРАЦА,"Пачынальніку ліба першая чарка, ліба першая палка",1661,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",У гадзюкі свой розум,189,64
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Восень кажа: «Я ўраджу», вясна кажа: «А я пагляджу»
а) Восень кажа: «Я ўраджу», вясна адказвае: «Пачакай,  як дагаджу»",478,87
СЕЛЬСКАЯ ГАСПАДАРКА,На вясну пасееш — увосень сабярэш,1021,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Шавец робіць плячыма, а бондар грудзьмі",1440,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Малако i ў каровы трэба купіць: не накорміш ды не напоіш, дык i не надоіш",190,199
ХАРЧАВАННЕ,Хлеб над усім пануе,620,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Сем сёл, адзін вол, а дзесяць  прыганятых",293,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Абы скварка й чарка, дык будзе там i Марка",1376,395
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"У каго шырокі карман, той самы вялікі  (большы) пан",1687,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Было ціха, а цяпер будзець ліха",2069,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Сіла ёсць — розуму не трэба,2305,474
ПРАЦА,За дзела i гарэлку п'юць i ў шыю (карак) бюць,1662,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","У гадзюкі няма іншай навукі, як кусаць",190,64
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Увосень за стол просім,479,87
СЕЛЬСКАЯ ГАСПАДАРКА,"Пасеяўшы — хоць капа, а не сеяўшы — ні снапа",1022,129
ПРОМЫСЛЫ I РАМЕСТВЫ,Шавец шыіць — жонка выіць,1441,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Дай карове пад нос, то  яна дасць  малака",191,199
ХАРЧАВАННЕ,"Не той багаты, хто мае срэбра i злата, а той багаты, хто  мае хлеб",621,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Дзе прыганятых многа, там работы мала",294,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе  каша i аладкі,  там будзе  i грамадка",1377,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"У каго кашэль, той i красен",1688,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Калі ліха, сядзі ціха
a) Сядзі ціха, калі не хочаш мець ліха",2070,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Будзе чэсць, калі грошы есць
а) Як грошы есць, то й дурню слава i чэсць",2306,475
ПРАЦА,"Узяцца-то ўзяліся, але як рабіць не спыталіся",1663,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Змяя свінню не кусаець,191,64
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Увосень i курчаты курамі стануць,480,87
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто арэ ды сее, той малоціць i вее",1023,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Хоць шылам пакручу, але нікому не плачу",1442,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Карову не накорміш — малака не надоіш,192,200
ХАРЧАВАННЕ,"Хлеб будзе, дык i ўсё будзе",622,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Як ні бяжы, a бізун аканома здагоніць",295,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе з малаком каша, там міласць ваша, а й дзе ж пуга",1378,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Пакуль з багатага пух, то з беднага дух",1689,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Ад ліха ўцякай ціха
а) Дзе ліха, уцякай ціха",2071,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Розуму грашыма не заменіш,2307,475
ПРАЦА,Спроба не хвароба,1664,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Хто ўб'е змяю, таму сто грахоў скінецца",192,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Восень — то матка: кісель  ды бліны, а вясною  гладка:  сядзі ды глядзі",481,87
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто не сее, той не вее, а хто сее, той вее",1024,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Кажан шавец без ботаў (босы) ходзіць, а ў каваля сакеры  няма",1443,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Карову гладзь не рукой, а мукой",193,200
ХАРЧАВАННЕ,Дай хлеба ды й гуляй колькі трэба,623,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Радуйся, мужык, што аканом у госці едзе",296,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе гам, i я там",1379,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Пакуль жырны конь схудае, а худой i здохне
а) Пакуль сыты ссохне, то худы здохне",1690,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Паедзеш  ціха, тут ліха, паедзеш шпарка, ад ліха варка
а) Еду ціха — са мной ліха, еду скора — ca мной гора",2072,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Пачот — грошам не ў зачот,2308,475
ПРАЦА,Першу работу за плот выкідаюць,1665,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","I жаба ў вадзе сядзіць, а не рыба",193,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Увосень i верабей багат
а) Па восені i верабей багат",482,87
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто не сее, у таго не расце",1025,129
ПРОМЫСЛЫ I РАМЕСТВЫ,Шавец  у падзёртых (дзіравых)  ботах ходзіць,1444,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Як гаспадар каля жывіны мэнчыцца, то жывіна яму рэн  чыцца",194,200
ХАРЧАВАННЕ,Найсмачнейшы хлеб ад сваей працы,624,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Аканом садомію робіць, курыцу ў масле жарыць",297,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе сабака гам, то i я там",1380,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"в) Пакуль сыты схуднее, то худы прападзе",132,419
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Ліха не дражні,2073,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,3 грашыма ўсюды добра,2309,475
ПРАЦА,"Хто ў дзеле, тэй i ў атвеце",1666,178
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Вада з гор — i рыба з нор,194,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"в) Увосень i верабей піва варыць
г) Увосень i ў вераб'я піва",482,88
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто не сее, той жаць не мае чаго",1026,129
ПРОМЫСЛЫ I РАМЕСТВЫ,У бахільшчыка ніколі няма бахіл,1445,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Не вымем карова малако дае, да языком",195,200
ХАРЧАВАННЕ,Пушны хлеб не голад,625,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не будзь  ні войтам, ні сватам — не будзеш чалавекам  праклятым",298,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Які дзень, такі i пажытак",1381,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Пакамест  багач  зжывецца,  худак  намрэцца",1691,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Маўчы,""няхай будзе ціха ліха",2074,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Хто мае грошы, таму нічога не бракуе",2310,475
ПРАЦА,"Сказаць легка, ды зрабіць цяжка",1667,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",Рыба вады не баіцца,195,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Па восені i ў кошкі ляпёшкі
а) Па восені i ў кошкі ляпёшкі i ў вераб'я піва",483,88
СЕЛЬСКАЯ ГАСПАДАРКА,"Як не пасееш, то й збіраць не будзе чаго",1027,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Шэўчыкі, краўчыкі — добрыя людзі: не ўкраўшы нітачкі,  шыці не будзе
a) Шэўчыкі, краўчыкі — добрыя людзі: не ўкраўшы шматачкі (латачкі), жыці не будзе",1446,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,У каровы малако на языку,196,200
ХАРЧАВАННЕ,"Пушны хлеб не голад,  а пасконная сарочка не нагата
а) Пасканінка не нагата, а пушны хлеб не голад",626,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Уцякаў ад пана, папаў да войта",299,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Тагды госць бывай у мяне, калі поўна ў гумне",1382,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Пакуль бедны зайдзе, то багаты заедзе",1692,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","He будзі ліха, калі спіць ціха
а) He будзі ліха, калі ліха спіць",2075,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Без нужды пражывеш, калі грошай нажывеш",2311,475
ПРАЦА,Работы да самой суботы,1668,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Рыба на нераст, а карова на верас",196,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,Увосень i грач — багач,484,88
СЕЛЬСКАЯ ГАСПАДАРКА,Насенне ў свіран само не прыходзіць,1028,129
ПРОМЫСЛЫ I РАМЕСТВЫ,"Каму што, a мельніку вецер",1447,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,"Знаць карову па удою
а) Карову шчытаюць па удою",197,200
ХАРЧАВАННЕ,"Паклонішся i пухнату, калі трапіцца",627,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ",Вайтоўства не папоўства,300,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Быў кус, да гасця не было; прышоў госць — куса няма",1383,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Тагды дурны гардзее, як забагацее",1693,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ","Сядзеў бы ціха, каб не парола ліха",2076,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,Грош i зімою грэе,2312,475
ПРАЦА,"Па субоце воддых па рабоце
а) Па субоце адпачынак па рабоце",1669,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","I рыба б запела, калі б голас мела",197,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Красна восень  снапкамі, a зіма ўмалотам",485,88
СЕЛЬСКАЯ ГАСПАДАРКА,"Хто сее грэчку, той кашу есць",1029,129
ПРОМЫСЛЫ I РАМЕСТВЫ,Кажан млін на свае калясо ваду цягне,1448,161
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Не цані каровы па ўдою,198,200
ХАРЧАВАННЕ,Галоднаму жывату i пушынка па нутру,628,231
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Што то я — войтава свіння
а) Я не я — войтава свіння",301,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Саўка ў кут, калі госці тут",1384,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Як пабагацелі, то й папыхацелі",1694,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",3 (ад) напасці можна прапасці,2077,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,"Калі маеш грошы, то не будзеш хадзіць босы",2313,475
ПРАЦА,"Сонца нізка, шабас блізка",1670,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ",У рака не дужа бальшы прысмакі,198,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Увосень давай карове, што есць, a ўвесну, што ёсць
а) Увосень карове давай,  што есць, a зімой,  што ёсць",486,88
СЕЛЬСКАЯ ГАСПАДАРКА,"Як сеецца, так i веецца",1030,129
ПРОМЫСЛЫ I РАМЕСТВЫ,Добрыя жорна ўсё перамелюць (змелюць),1449,162
ГАСПАДАРЛІВАСЦЬ. СЯЛЯНСКАЯ СЯДЗІБА,Кароўка па удою не лічыцца,199,200
ХАРЧАВАННЕ,а) Тошчаму жывату i пушынка па нутру,628,232
"КАРОЛЬ, ЦАР. ПАНЫ, ПАДПАНКІ, ШЛЯХТА. ПРЫГОН, МУЖЫКІ","Не войтава дачка, да дарэчы гаворыць",302,310
СЯБРОУСТВА. ВАРОЖАСЦЬ. СУСЕДСТВА. ГАСЦІННАСЦЬ,"Дзе кісель, там i сеў, дзе піры, там i лёг",1385,396
БЕДНАСЦЬ. ЖАБРАЦТВА. БАГАЦТВА. САЦЫЯЛЬНА-МАЕМАСНАЯ НАРОУНАСЦЬ,"Як забагацеў, дак i завяліся мухі ў носе",1695,420
"БЯДА, ГОРА, ЛІХА, НАПАСЦЬ, ЗЛЫДНІ. БЕЗВЫХОДНАСЦЬ. СПАДЗЯВАННІ",Ад напасці не прапасці,2078,453
ГАНДАЛЬ. ГРОШЫ. ПАЗЫКІ. ДАУГІ. КАРЧМА,За грошы ўсюды шабас,2314,475
ПРАЦА,"Сонца нізка, вечар блізка",1671,179
"ПРЫРОДА, ЯЕ СТЫХІІ I З'ЯВЫ. ЖЫВЕЛЬНЫ I РАСЛІННЫ СВЕТ","Рак не рыба, кажан не птушка",199,65
ПОРЫ ГОДУ. ЧАС. НАРОДНЫ КАЛЯНДАР,"Кастрычнік зямлю балоціць, а лес дык залоціць",487,88
